"","location","date","new_cases"
"735","Gambia",2022-03-21,0
"736","Gambia",2022-03-22,0
"737","Gambia",2022-03-23,0
"738","Gambia",2022-03-24,0
"739","Gambia",2022-03-25,8
"740","Gambia",2022-03-26,0
"741","Gambia",2022-03-27,0
"742","Gambia",2022-03-28,0
"743","Gambia",2022-03-29,2
"744","Gambia",2022-03-30,0
"745","Gambia",2022-03-31,0
"746","Gambia",2022-04-01,0
"747","Gambia",2022-04-02,0
"748","Gambia",2022-04-03,0
"749","Gambia",2022-04-04,1
"750","Gambia",2022-04-05,1
"751","Gambia",2022-04-06,0
"752","Gambia",2022-04-07,0
"753","Gambia",2022-04-08,0
"754","Gambia",2022-04-09,0
"755","Gambia",2022-04-10,0
"756","Gambia",2022-04-11,0
"757","Gambia",2022-04-12,0
"758","Gambia",2022-04-13,0
"759","Gambia",2022-04-14,4
"760","Gambia",2022-04-15,0
"761","Gambia",2022-04-16,0
"762","Gambia",2022-04-17,0
"763","Gambia",2022-04-18,0
"764","Gambia",2022-04-19,0
"765","Gambia",2022-04-20,1
"766","Gambia",2022-04-21,0
"767","Gambia",2022-04-22,0
"768","Gambia",2022-04-23,0
"769","Gambia",2022-04-24,0
"770","Gambia",2022-04-25,0
"771","Gambia",2022-04-26,0
"772","Gambia",2022-04-27,0
"773","Gambia",2022-04-28,0
"774","Gambia",2022-04-29,0
"775","Gambia",2022-04-30,0
"776","Gambia",2022-05-01,0
"777","Gambia",2022-05-02,0
"778","Gambia",2022-05-03,0
"779","Gambia",2022-05-04,0
"780","Gambia",2022-05-05,0
"781","Gambia",2022-05-06,0
"782","Gambia",2022-05-07,0
"783","Gambia",2022-05-08,0
"784","Gambia",2022-05-09,1
"785","Gambia",2022-05-10,0
"786","Gambia",2022-05-11,0
"787","Gambia",2022-05-12,0
"788","Gambia",2022-05-13,3
"789","Gambia",2022-05-14,0
"790","Gambia",2022-05-15,0
"791","Gambia",2022-05-16,0
"792","Gambia",2022-05-17,0
"793","Gambia",2022-05-18,0
"794","Gambia",2022-05-19,0
"795","Gambia",2022-05-20,0
"796","Gambia",2022-05-21,0
"797","Gambia",2022-05-22,0
"798","Gambia",2022-05-23,0
"799","Gambia",2022-05-24,3
"800","Gambia",2022-05-25,0
"801","Gambia",2022-05-26,0
"802","Gambia",2022-05-27,0
"803","Gambia",2022-05-28,0
"804","Gambia",2022-05-29,0
"805","Gambia",2022-05-30,0
"806","Gambia",2022-05-31,0
"807","Gambia",2022-06-01,0
"808","Gambia",2022-06-02,0
"809","Gambia",2022-06-03,0
"810","Gambia",2022-06-04,0
"811","Gambia",2022-06-05,0
"812","Gambia",2022-06-06,0
"813","Gambia",2022-06-07,0
"814","Gambia",2022-06-08,0
"815","Gambia",2022-06-09,0
"816","Gambia",2022-06-10,0
"817","Gambia",2022-06-11,0
"818","Gambia",2022-06-12,0
"819","Gambia",2022-06-13,0
